"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that async replication fails back correctly.","129092","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Fri Jun 27 04:50:45 UTC 2025","passed","Fri Jun 27 04:52:55 UTC 2025","","test_async_replication","",""
"","627916","test_removing_unit[roles1]","tests.integration.ha_tests","Fri Jun 27 03:47:03 UTC 2025","passed","Fri Jun 27 03:57:31 UTC 2025","","test_scaling_three_units","",""
"Deploy both charms (application and database) to use in the tests.","709684","test_deploy_charms","tests.integration.new_relations","Fri Jun 27 03:37:43 UTC 2025","passed","Fri Jun 27 03:49:33 UTC 2025","","test_new_relations_1","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Fri Jun 27 04:09:46 UTC 2025","skipped","Fri Jun 27 04:09:46 UTC 2025","","test_db","",""
"","0","test_scale_up","tests.integration","Fri Jun 27 03:13:31 UTC 2025","skipped","Fri Jun 27 03:13:31 UTC 2025","","test_subordinates","",""
"Test data is replicated to new units after a scale up.","1677145","test_scale_down_and_up","tests.integration","Fri Jun 27 04:20:13 UTC 2025","passed","Fri Jun 27 04:48:10 UTC 2025","","test_charm","",""
"","497000","test_pg_hba","tests.integration","Fri Jun 27 03:56:51 UTC 2025","passed","Fri Jun 27 04:05:08 UTC 2025","","test_pg_hba","",""
"Test that two different application connect to the database with different credentials.","137980","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Fri Jun 27 03:59:51 UTC 2025","passed","Fri Jun 27 04:02:09 UTC 2025","","test_new_relations_1","",""
"Build and deploy two PostgreSQL clusters.","705450","test_build_and_deploy","tests.integration.ha_tests","Fri Jun 27 03:38:11 UTC 2025","passed","Fri Jun 27 03:49:57 UTC 2025","","test_scaling_three_units_async","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Fri Jun 27 03:21:34 UTC 2025","skipped","Fri Jun 27 03:21:34 UTC 2025","","test_new_relations_2","",""
"Test that an application can connect to different clusters of the same database.","82135","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","Fri Jun 27 04:03:30 UTC 2025","passed","Fri Jun 27 04:04:52 UTC 2025","","test_new_relations_1","",""
"Test that in general, there is no change when password validation fails.","4294","test_no_password_change_on_invalid_password","tests.integration","Fri Jun 27 03:56:03 UTC 2025","passed","Fri Jun 27 03:56:08 UTC 2025","","test_password_rotation","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","196104","test_config_parameters","tests.integration","Fri Jun 27 04:06:17 UTC 2025","passed","Fri Jun 27 04:09:33 UTC 2025","","test_config","",""
